method,task,metric,value,cost_value
ours,covering,variance_nearest_neighbor_distance,0.0003265058114937061,0.0003265058114937061
ours,covering,area_ratio,0.26875519923919894,0.731244800760801
ours,covering,variance_nearest_neighbor_distance,0.003848310183697086,0.003848310183697086
ours,covering,area_ratio,0.8918857043306411,0.10811429566935893
ours,covering,variance_nearest_neighbor_distance,0.00033153051867827797,0.00033153051867827797
ours,covering,area_ratio,0.899540459259116,0.10045954074088403
ours,covering,variance_nearest_neighbor_distance,0.0002453432285278997,0.0002453432285278997
ours,covering,area_ratio,0.891767835600824,0.10823216439917605
ours,covering,variance_nearest_neighbor_distance,0.0003512862059192769,0.0003512862059192769
ours,covering,area_ratio,0.2505072081461157,0.7494927918538843
ours,covering,variance_nearest_neighbor_distance,0.01400776856124991,0.01400776856124991
ours,covering,area_ratio,0.24121024495672516,0.7587897550432748
ours,covering,variance_nearest_neighbor_distance,0.00656641785449762,0.00656641785449762
ours,covering,area_ratio,0.890927192895753,0.10907280710424705
ours,covering,variance_nearest_neighbor_distance,0.0002850285034235524,0.0002850285034235524
ours,covering,area_ratio,1.000066494724168,-6.649472416797586e-05
ours,covering,variance_nearest_neighbor_distance,0.007697775959570239,0.007697775959570239
ours,covering,area_ratio,0.9627038403414875,0.03729615965851252
ours,covering,variance_nearest_neighbor_distance,0.0011785738064118644,0.0011785738064118644
ours,covering,area_ratio,0.1754012421288359,0.8245987578711641
ours,covering,variance_nearest_neighbor_distance,0.00044226332306091616,0.00044226332306091616
ours,covering,area_ratio,0.8891096955479219,0.11089030445207815
ours,covering,variance_nearest_neighbor_distance,0.0009696325746904815,0.0009696325746904815
ours,covering,area_ratio,0.8992727115264142,0.10072728847358581
ours,covering,variance_nearest_neighbor_distance,0.0012412398548643975,0.0012412398548643975
ours,covering,area_ratio,0.9062628004375874,0.09373719956241255
ours,covering,variance_nearest_neighbor_distance,0.00034555346877779747,0.00034555346877779747
ours,covering,area_ratio,0.887203378474416,0.112796621525584
ours,covering,variance_nearest_neighbor_distance,0.0001724068333775447,0.0001724068333775447
ours,covering,area_ratio,0.2835539909314627,0.7164460090685373
ours,covering,variance_nearest_neighbor_distance,0.004254768951543256,0.004254768951543256
ours,covering,area_ratio,0.8901045598849856,0.1098954401150144
ours,covering,variance_nearest_neighbor_distance,0.00011295675957192961,0.00011295675957192961
ours,covering,area_ratio,0.6341699146606257,0.36583008533937433
ours,covering,variance_nearest_neighbor_distance,0.12585968355203897,0.12585968355203897
ours,covering,area_ratio,0.27266111068978044,0.7273388893102195
ours,covering,variance_nearest_neighbor_distance,0.011125875493513229,0.011125875493513229
ours,covering,area_ratio,1.8391539289875203,-0.8391539289875203
ours,covering,variance_nearest_neighbor_distance,0.017644861341771432,0.017644861341771432
ours,covering,area_ratio,0.8925993143110589,0.10740068568894112
ours,covering,variance_nearest_neighbor_distance,0.00017667921610508511,0.00017667921610508511
ours,covering,area_ratio,0.8900749855090299,0.10992501449097014
ours,covering,variance_nearest_neighbor_distance,0.000346326607292446,0.000346326607292446
ours,covering,area_ratio,0.27488515802369157,0.7251148419763085
ours,covering,variance_nearest_neighbor_distance,0.003940955955536487,0.003940955955536487
ours,covering,area_ratio,0.9055354897776148,0.09446451022238522
ours,covering,variance_nearest_neighbor_distance,0.00013790234322057357,0.00013790234322057357
ours,covering,area_ratio,0.8936305949881096,0.1063694050118904
ours,covering,variance_nearest_neighbor_distance,0.000491354448156514,0.000491354448156514
ours,covering,area_ratio,0.8851895246432862,0.11481047535671385
ours,covering,variance_nearest_neighbor_distance,0.00038885580568294475,0.00038885580568294475
ours,covering,area_ratio,0.8923965782841684,0.1076034217158316
ours,covering,variance_nearest_neighbor_distance,0.0001447762140812159,0.0001447762140812159
ours,covering,area_ratio,0.9622598022800415,0.03774019771995851
ours,covering,variance_nearest_neighbor_distance,0.0026281332532044946,0.0026281332532044946
ours,covering,area_ratio,0.8955390523654201,0.10446094763457991
ours,covering,variance_nearest_neighbor_distance,0.00019259036274325026,0.00019259036274325026
ours,covering,area_ratio,0.2760720737280315,0.7239279262719684
ours,covering,variance_nearest_neighbor_distance,0.00733035843331364,0.00733035843331364
ours,covering,area_ratio,0.8832881904529534,0.11671180954704663
ours,covering,variance_nearest_neighbor_distance,0.00010909341855188843,0.00010909341855188843
ours,covering,area_ratio,0.898121601203462,0.10187839879653804
ours,covering,variance_nearest_neighbor_distance,0.0002901985027099876,0.0002901985027099876
ours,covering,area_ratio,0.29279061699933717,0.7072093830006628
ours,covering,variance_nearest_neighbor_distance,0.0031592741301869594,0.0031592741301869594
ours,covering,area_ratio,0.27183730384062993,0.7281626961593701
ours,covering,variance_nearest_neighbor_distance,0.002787737575503941,0.002787737575503941
ours,covering,area_ratio,0.896597180962779,0.10340281903722104
ours,covering,variance_nearest_neighbor_distance,0.00022603498996735179,0.00022603498996735179
ours,covering,area_ratio,0.5744480545654466,0.42555194543455344
ours,covering,variance_nearest_neighbor_distance,0.23764539131088075,0.23764539131088075
ours,covering,area_ratio,0.8939764640301835,0.10602353596981651
ours,covering,variance_nearest_neighbor_distance,0.0004519421872457549,0.0004519421872457549
ours,covering,area_ratio,0.8900636778156201,0.10993632218437988
ours,covering,variance_nearest_neighbor_distance,0.00014357553205038276,0.00014357553205038276
ours,covering,area_ratio,0.24025967868076284,0.7597403213192372
ours,covering,variance_nearest_neighbor_distance,0.003646000770483062,0.003646000770483062
ours,covering,area_ratio,0.42829387350248027,0.5717061264975197
ours,covering,variance_nearest_neighbor_distance,0.0036258493280168307,0.0036258493280168307
ours,covering,area_ratio,0.16474794094912767,0.8352520590508723
ours,covering,variance_nearest_neighbor_distance,0.0013746883834088372,0.0013746883834088372
ours,covering,area_ratio,0.893927631894421,0.10607236810557896
ours,covering,variance_nearest_neighbor_distance,0.0016936930233462794,0.0016936930233462794
ours,covering,area_ratio,0.8901126011773107,0.10988739882268928
ours,covering,variance_nearest_neighbor_distance,0.00023226563049620434,0.00023226563049620434
ours,covering,area_ratio,0.8844918447749593,0.11550815522504065
ours,covering,variance_nearest_neighbor_distance,0.0002682959879676411,0.0002682959879676411
ours,covering,area_ratio,0.8827255309895404,0.11727446901045957
ours,covering,variance_nearest_neighbor_distance,0.00012315130165108828,0.00012315130165108828
ours,covering,area_ratio,1.0487733604199685,-0.04877336041996849
ours,covering,variance_nearest_neighbor_distance,0.0033609793797618687,0.0033609793797618687
ours,covering,area_ratio,0.08495362547732861,0.9150463745226713
ours,covering,variance_nearest_neighbor_distance,0.00019016970353910923,0.00019016970353910923
ours,covering,area_ratio,0.25494441960708125,0.7450555803929187
ours,covering,variance_nearest_neighbor_distance,0.007104205481936668,0.007104205481936668
ours,covering,area_ratio,1.6313058258627104,-0.6313058258627104
ours,covering,variance_nearest_neighbor_distance,0.1555326562625624,0.1555326562625624
ours,covering,area_ratio,0.8928914208218317,0.1071085791781683
ours,covering,variance_nearest_neighbor_distance,0.0002067076480455838,0.0002067076480455838
ours,covering,area_ratio,0.9028664743809044,0.0971335256190956
ours,covering,variance_nearest_neighbor_distance,0.00019730471525973022,0.00019730471525973022
ours,covering,area_ratio,0.2609015378731023,0.7390984621268977
ours,covering,variance_nearest_neighbor_distance,0.006034817013225,0.006034817013225
ours,covering,area_ratio,0.9085076765284213,0.09149232347157865
ours,covering,variance_nearest_neighbor_distance,0.00023586382003535375,0.00023586382003535375
ours,covering,area_ratio,0.8963442215816043,0.10365577841839568
ours,covering,variance_nearest_neighbor_distance,0.0002838391181247776,0.0002838391181247776
ours,covering,area_ratio,0.2573745667359801,0.7426254332640199
ours,covering,variance_nearest_neighbor_distance,0.006468749484871318,0.006468749484871318
ours,covering,area_ratio,0.2782454959782847,0.7217545040217153
ours,covering,variance_nearest_neighbor_distance,0.014089440982033564,0.014089440982033564
ours,covering,area_ratio,0.5927459917263774,0.40725400827362257
ours,covering,variance_nearest_neighbor_distance,0.04853530365181577,0.04853530365181577
ours,covering,area_ratio,0.8880119175744333,0.11198808242556668
ours,covering,variance_nearest_neighbor_distance,0.0008699529749404825,0.0008699529749404825
ours,covering,area_ratio,1.645484960892087,-0.645484960892087
ours,covering,variance_nearest_neighbor_distance,0.24506791773564068,0.24506791773564068
ours,covering,area_ratio,0.889940583974037,0.11005941602596303
ours,covering,variance_nearest_neighbor_distance,0.0006074936398387639,0.0006074936398387639
ours,covering,area_ratio,0.916842845060914,0.08315715493908604
ours,covering,variance_nearest_neighbor_distance,0.0005231648361043288,0.0005231648361043288
ours,covering,area_ratio,0.8568692355114284,0.14313076448857165
ours,covering,variance_nearest_neighbor_distance,0.000678668482062062,0.000678668482062062
ours,covering,area_ratio,0.9779690540528871,0.022030945947112857
ours,covering,variance_nearest_neighbor_distance,0.004834310669284908,0.004834310669284908
ours,covering,area_ratio,0.966344285071969,0.03365571492803099
ours,covering,variance_nearest_neighbor_distance,0.001660684570440591,0.001660684570440591
ours,covering,area_ratio,0.90403751996596,0.09596248003403995
ours,covering,variance_nearest_neighbor_distance,0.00011649530217015678,0.00011649530217015678
ours,covering,area_ratio,0.8859255810046198,0.11407441899538018
ours,covering,variance_nearest_neighbor_distance,0.00010539292208068363,0.00010539292208068363
ours,covering,area_ratio,0.8795222929004022,0.12047770709959782
ours,covering,variance_nearest_neighbor_distance,0.000214463956205133,0.000214463956205133
meta,flocking,spatial_variance,0.3079653298818136,0.3079653298818136
meta,flocking,mean_dtw_distance,799.8925290689576,799.8925290689576
meta,flocking,spatial_variance,0.2876162527700601,0.2876162527700601
meta,flocking,mean_dtw_distance,767.6828932547188,767.6828932547188
meta,flocking,spatial_variance,1.3086200456455752,1.3086200456455752
meta,flocking,mean_dtw_distance,1035.2998212677462,1035.2998212677462
meta,flocking,spatial_variance,0.28858403499239726,0.28858403499239726
meta,flocking,mean_dtw_distance,771.9669665777532,771.9669665777532
meta,flocking,spatial_variance,0.16876549390747447,0.16876549390747447
meta,flocking,mean_dtw_distance,893.2217786207764,893.2217786207764
meta,flocking,spatial_variance,8.80554185264738,8.80554185264738
meta,flocking,mean_dtw_distance,4036.1236554213133,4036.1236554213133
meta,flocking,spatial_variance,0.28485037587360473,0.28485037587360473
meta,flocking,mean_dtw_distance,767.9692344537932,767.9692344537932
meta,flocking,spatial_variance,0.27710609827534255,0.27710609827534255
meta,flocking,mean_dtw_distance,757.9497988231672,757.9497988231672
meta,flocking,spatial_variance,0.3071210087238093,0.3071210087238093
meta,flocking,mean_dtw_distance,796.4881158302106,796.4881158302106
meta,flocking,spatial_variance,0.33854666604305805,0.33854666604305805
meta,flocking,mean_dtw_distance,838.5051986642786,838.5051986642786
meta,flocking,spatial_variance,0.11734763371485021,0.11734763371485021
meta,flocking,mean_dtw_distance,478.0762444717767,478.0762444717767
meta,flocking,spatial_variance,0.29441324932790724,0.29441324932790724
meta,flocking,mean_dtw_distance,780.1400749960288,780.1400749960288
meta,flocking,spatial_variance,0.2877955719333981,0.2877955719333981
meta,flocking,mean_dtw_distance,1152.7354914072612,1152.7354914072612
meta,flocking,spatial_variance,0.2695372608411605,0.2695372608411605
meta,flocking,mean_dtw_distance,749.6767776592649,749.6767776592649
meta,flocking,spatial_variance,0.15539024144495228,0.15539024144495228
meta,flocking,mean_dtw_distance,522.9781391635523,522.9781391635523
meta,flocking,spatial_variance,1.3865796968328754,1.3865796968328754
meta,flocking,mean_dtw_distance,1117.160581299703,1117.160581299703
meta,flocking,spatial_variance,3.772834991471198,3.772834991471198
meta,flocking,mean_dtw_distance,3453.803214786721,3453.803214786721
meta,flocking,spatial_variance,0.07962944041983591,0.07962944041983591
meta,flocking,mean_dtw_distance,408.3483456014822,408.3483456014822
meta,flocking,spatial_variance,0.2714826648899861,0.2714826648899861
meta,flocking,mean_dtw_distance,1114.1844838338334,1114.1844838338334
meta,flocking,spatial_variance,0.29271222456649126,0.29271222456649126
meta,flocking,mean_dtw_distance,721.2205299747063,721.2205299747063
meta,flocking,spatial_variance,0.30812201917893445,0.30812201917893445
meta,flocking,mean_dtw_distance,799.690902964212,799.690902964212
meta,flocking,spatial_variance,0.31890693345586835,0.31890693345586835
meta,flocking,mean_dtw_distance,806.1616485603372,806.1616485603372
meta,flocking,spatial_variance,0.2771918536409115,0.2771918536409115
meta,flocking,mean_dtw_distance,1131.455197682901,1131.455197682901
meta,flocking,spatial_variance,0.24843109117601564,0.24843109117601564
meta,flocking,mean_dtw_distance,719.4518000376567,719.4518000376567
meta,flocking,spatial_variance,0.2805009885995886,0.2805009885995886
meta,flocking,mean_dtw_distance,1141.0967852670715,1141.0967852670715
meta,flocking,spatial_variance,1.6362541634101908,1.6362541634101908
meta,flocking,mean_dtw_distance,2392.0242997863365,2392.0242997863365
meta,flocking,spatial_variance,0.19190836704087202,0.19190836704087202
meta,flocking,mean_dtw_distance,593.635740711208,593.635740711208
meta,flocking,spatial_variance,0.2915019210858847,0.2915019210858847
meta,flocking,mean_dtw_distance,779.9659501437809,779.9659501437809
meta,flocking,spatial_variance,1.1579463929049023,1.1579463929049023
meta,flocking,mean_dtw_distance,636.2870195779886,636.2870195779886
meta,flocking,spatial_variance,0.21885630061913214,0.21885630061913214
meta,flocking,mean_dtw_distance,684.7505953025737,684.7505953025737
meta,flocking,spatial_variance,0.11430590109078291,0.11430590109078291
meta,flocking,mean_dtw_distance,762.994731729649,762.994731729649
meta,flocking,spatial_variance,0.247557970758597,0.247557970758597
meta,flocking,mean_dtw_distance,1061.3442149888037,1061.3442149888037
meta,flocking,spatial_variance,0.07467345890523079,0.07467345890523079
meta,flocking,mean_dtw_distance,603.4622785147418,603.4622785147418
meta,flocking,spatial_variance,1.6676978650448917,1.6676978650448917
meta,flocking,mean_dtw_distance,2653.4374484846544,2653.4374484846544
meta,flocking,spatial_variance,0.31751642769805477,0.31751642769805477
meta,flocking,mean_dtw_distance,220.29553850727365,220.29553850727365
meta,flocking,spatial_variance,0.2963809707569981,0.2963809707569981
meta,flocking,mean_dtw_distance,785.548653527136,785.548653527136
meta,flocking,spatial_variance,0.3035801809581118,0.3035801809581118
meta,flocking,mean_dtw_distance,785.2759301236314,785.2759301236314
meta,flocking,spatial_variance,5.88198990883518,5.88198990883518
meta,flocking,mean_dtw_distance,3581.527752945432,3581.527752945432
meta,flocking,spatial_variance,0.3245860527412314,0.3245860527412314
meta,flocking,mean_dtw_distance,1224.2486579172848,1224.2486579172848
meta,flocking,spatial_variance,0.25435719416150776,0.25435719416150776
meta,flocking,mean_dtw_distance,584.0583072369454,584.0583072369454
meta,flocking,spatial_variance,0.07417294600390568,0.07417294600390568
meta,flocking,mean_dtw_distance,544.602013658027,544.602013658027
meta,flocking,spatial_variance,0.18630961586749842,0.18630961586749842
meta,flocking,mean_dtw_distance,559.9807176461759,559.9807176461759
meta,flocking,spatial_variance,1.8857118400568038,1.8857118400568038
meta,flocking,mean_dtw_distance,2216.96154918646,2216.96154918646
meta,flocking,spatial_variance,1.750123564615762,1.750123564615762
meta,flocking,mean_dtw_distance,2679.6392758879306,2679.6392758879306
meta,flocking,spatial_variance,0.2561138354322992,0.2561138354322992
meta,flocking,mean_dtw_distance,728.6054715881395,728.6054715881395
meta,flocking,spatial_variance,3.075823863830497,3.075823863830497
meta,flocking,mean_dtw_distance,2390.4737275811303,2390.4737275811303
meta,flocking,spatial_variance,0.614815281266983,0.614815281266983
meta,flocking,mean_dtw_distance,472.32275670226915,472.32275670226915
meta,flocking,spatial_variance,0.21817970143948748,0.21817970143948748
meta,flocking,mean_dtw_distance,1001.5025517058214,1001.5025517058214
meta,flocking,spatial_variance,6.468572770900563,6.468572770900563
meta,flocking,mean_dtw_distance,4080.2319723996343,4080.2319723996343
meta,flocking,spatial_variance,0.14527773136634842,0.14527773136634842
meta,flocking,mean_dtw_distance,539.5768320390498,539.5768320390498
meta,flocking,spatial_variance,0.699879279142884,0.699879279142884
meta,flocking,mean_dtw_distance,320.3142172536369,320.3142172536369
meta,flocking,spatial_variance,0.12591917179306858,0.12591917179306858
meta,flocking,mean_dtw_distance,563.016085001945,563.016085001945
meta,flocking,spatial_variance,0.6656492427073277,0.6656492427073277
meta,flocking,mean_dtw_distance,1597.08807361974,1597.08807361974
meta,flocking,spatial_variance,0.4958928869986094,0.4958928869986094
meta,flocking,mean_dtw_distance,928.0311138656576,928.0311138656576
meta,flocking,spatial_variance,0.29763625417587514,0.29763625417587514
meta,flocking,mean_dtw_distance,786.1587866054675,786.1587866054675
meta,flocking,spatial_variance,0.30222663814815964,0.30222663814815964
meta,flocking,mean_dtw_distance,787.576276183652,787.576276183652
meta,flocking,spatial_variance,0.8155379666960829,0.8155379666960829
meta,flocking,mean_dtw_distance,1596.8631054956275,1596.8631054956275
meta,flocking,spatial_variance,1.7228548466719877,1.7228548466719877
meta,flocking,mean_dtw_distance,1697.778277967643,1697.778277967643
meta,flocking,spatial_variance,0.30084879376171236,0.30084879376171236
meta,flocking,mean_dtw_distance,656.7378707048819,656.7378707048819
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.8333333333333334,0.16666666666666663
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.16666666666666666,0.8333333333333334
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,1.0,0.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,crossing,target_achievement_ratio,0.0,1.0
meta,aggregation,max_min_distance,2.6088183632826176,2.6088183632826176
meta,aggregation,max_min_distance,2.929853416611552,2.929853416611552
meta,aggregation,max_min_distance,0.7976711572757571,0.7976711572757571
meta,aggregation,max_min_distance,0.2339527551043929,0.2339527551043929
meta,aggregation,max_min_distance,0.19320376387038304,0.19320376387038304
meta,aggregation,max_min_distance,0.2228244889183558,0.2228244889183558
meta,aggregation,max_min_distance,0.009506264842258944,0.009506264842258944
meta,aggregation,max_min_distance,0.34379259882368185,0.34379259882368185
meta,aggregation,max_min_distance,0.3571140031162842,0.3571140031162842
meta,aggregation,max_min_distance,0.5701060664638116,0.5701060664638116
meta,aggregation,max_min_distance,3.547539789083365,3.547539789083365
meta,aggregation,max_min_distance,0.4493654934492574,0.4493654934492574
meta,aggregation,max_min_distance,0.19430815614186137,0.19430815614186137
meta,aggregation,max_min_distance,1.791675939749362,1.791675939749362
meta,aggregation,max_min_distance,0.197362849271883,0.197362849271883
meta,aggregation,max_min_distance,0.28962412018304157,0.28962412018304157
meta,aggregation,max_min_distance,0.5120899692245611,0.5120899692245611
meta,aggregation,max_min_distance,1.995302668707769,1.995302668707769
meta,aggregation,max_min_distance,0.12140114750702785,0.12140114750702785
meta,aggregation,max_min_distance,1.8482805781416187,1.8482805781416187
meta,aggregation,max_min_distance,3.054907647161114,3.054907647161114
meta,aggregation,max_min_distance,0.21008581279495014,0.21008581279495014
meta,aggregation,max_min_distance,0.22560532367701913,0.22560532367701913
meta,aggregation,max_min_distance,0.2611876865644637,0.2611876865644637
meta,aggregation,max_min_distance,2.833852688141853,2.833852688141853
meta,aggregation,max_min_distance,1.731770619610293,1.731770619610293
meta,aggregation,max_min_distance,1.4538349759586608,1.4538349759586608
meta,aggregation,max_min_distance,0.25979006759372464,0.25979006759372464
meta,aggregation,max_min_distance,4.952790935322431,4.952790935322431
meta,aggregation,max_min_distance,3.523869129690591,3.523869129690591
meta,aggregation,max_min_distance,0.21136677710857574,0.21136677710857574
meta,aggregation,max_min_distance,1.7461787545269494,1.7461787545269494
meta,aggregation,max_min_distance,3.3374597944933284,3.3374597944933284
meta,aggregation,max_min_distance,2.637780142126106,2.637780142126106
meta,aggregation,max_min_distance,0.19402573263769793,0.19402573263769793
meta,aggregation,max_min_distance,0.09476908022127106,0.09476908022127106
meta,aggregation,max_min_distance,0.2087037127916547,0.2087037127916547
meta,aggregation,max_min_distance,0.27753544903286936,0.27753544903286936
meta,aggregation,max_min_distance,1.39721549021859,1.39721549021859
meta,aggregation,max_min_distance,2.5919014787919483,2.5919014787919483
meta,aggregation,max_min_distance,1.5383829662555024,1.5383829662555024
meta,aggregation,max_min_distance,4.751337292394508,4.751337292394508
meta,aggregation,max_min_distance,0.27778457972266857,0.27778457972266857
meta,aggregation,max_min_distance,2.421960245006975,2.421960245006975
meta,aggregation,max_min_distance,1.01891633240581,1.01891633240581
meta,aggregation,max_min_distance,2.356068647477642,2.356068647477642
meta,aggregation,max_min_distance,0.10275228228036654,0.10275228228036654
meta,aggregation,max_min_distance,0.2842974979507746,0.2842974979507746
meta,aggregation,max_min_distance,-0.003994873108546904,-0.003994873108546904
meta,aggregation,max_min_distance,0.2424055666139748,0.2424055666139748
meta,aggregation,max_min_distance,0.229758915087406,0.229758915087406
meta,aggregation,max_min_distance,0.2866151070464355,0.2866151070464355
meta,aggregation,max_min_distance,0.210896561072519,0.210896561072519
meta,aggregation,max_min_distance,0.29702331135716475,0.29702331135716475
meta,aggregation,max_min_distance,0.21100411898222718,0.21100411898222718
meta,aggregation,max_min_distance,0.13122787961813576,0.13122787961813576
meta,aggregation,max_min_distance,0.2676575191967229,0.2676575191967229
meta,aggregation,max_min_distance,3.2273278300381163,3.2273278300381163
meta,shaping,procrustes_distance,0.05659583595956503,0.05659583595956503
meta,shaping,procrustes_distance,0.0003840919966693966,0.0003840919966693966
meta,shaping,procrustes_distance,0.0010504347181061182,0.0010504347181061182
meta,shaping,procrustes_distance,0.00030382122839851366,0.00030382122839851366
meta,shaping,procrustes_distance,0.00018706648914883147,0.00018706648914883147
meta,shaping,procrustes_distance,0.0022624697891721235,0.0022624697891721235
meta,shaping,procrustes_distance,0.09491650321502555,0.09491650321502555
meta,shaping,procrustes_distance,0.00040665241946987504,0.00040665241946987504
meta,shaping,procrustes_distance,0.3794643898485803,0.3794643898485803
meta,shaping,procrustes_distance,0.2707030423352485,0.2707030423352485
meta,shaping,procrustes_distance,0.00014528132131177093,0.00014528132131177093
meta,shaping,procrustes_distance,0.00032303670330190143,0.00032303670330190143
meta,shaping,procrustes_distance,0.49592868793506917,0.49592868793506917
meta,shaping,procrustes_distance,0.509274848441835,0.509274848441835
meta,shaping,procrustes_distance,0.0002616323973133724,0.0002616323973133724
meta,shaping,procrustes_distance,0.00031473516656285516,0.00031473516656285516
meta,shaping,procrustes_distance,0.00010863307276391097,0.00010863307276391097
meta,shaping,procrustes_distance,0.15330703460445566,0.15330703460445566
meta,shaping,procrustes_distance,0.6367719938843887,0.6367719938843887
meta,shaping,procrustes_distance,0.7526327763368368,0.7526327763368368
meta,shaping,procrustes_distance,0.48717075602519566,0.48717075602519566
meta,shaping,procrustes_distance,0.005146118741372336,0.005146118741372336
meta,shaping,procrustes_distance,0.00026478265387223644,0.00026478265387223644
meta,shaping,procrustes_distance,0.001719549788992207,0.001719549788992207
meta,shaping,procrustes_distance,0.5441788057398448,0.5441788057398448
meta,shaping,procrustes_distance,0.8379304699255059,0.8379304699255059
meta,shaping,procrustes_distance,0.004437058177507669,0.004437058177507669
meta,shaping,procrustes_distance,0.0010292309461089164,0.0010292309461089164
meta,shaping,procrustes_distance,0.7971421436599345,0.7971421436599345
meta,shaping,procrustes_distance,0.00011718510169116217,0.00011718510169116217
meta,shaping,procrustes_distance,0.00017081756441139937,0.00017081756441139937
meta,shaping,procrustes_distance,0.7460053466526785,0.7460053466526785
meta,shaping,procrustes_distance,0.0003165848052580718,0.0003165848052580718
meta,shaping,procrustes_distance,0.006540576513722645,0.006540576513722645
meta,shaping,procrustes_distance,0.862172608516092,0.862172608516092
meta,shaping,procrustes_distance,0.36814968292919087,0.36814968292919087
meta,shaping,procrustes_distance,0.0003583695277447971,0.0003583695277447971
meta,shaping,procrustes_distance,0.6745620637556552,0.6745620637556552
meta,shaping,procrustes_distance,0.28529060392952044,0.28529060392952044
meta,shaping,procrustes_distance,0.0003998533924854231,0.0003998533924854231
meta,shaping,procrustes_distance,0.00017243346531006624,0.00017243346531006624
meta,shaping,procrustes_distance,0.0003848250590901671,0.0003848250590901671
meta,shaping,procrustes_distance,0.6541404944175463,0.6541404944175463
meta,shaping,procrustes_distance,0.06761714184575442,0.06761714184575442
meta,shaping,procrustes_distance,0.6768167831893392,0.6768167831893392
meta,shaping,procrustes_distance,0.0012607885715451709,0.0012607885715451709
meta,shaping,procrustes_distance,0.0007998467308380016,0.0007998467308380016
meta,shaping,procrustes_distance,0.00013635446759773968,0.00013635446759773968
meta,shaping,procrustes_distance,0.6998219926114306,0.6998219926114306
meta,shaping,procrustes_distance,0.686115423312668,0.686115423312668
meta,shaping,procrustes_distance,0.011245615746731396,0.011245615746731396
meta,shaping,procrustes_distance,0.6749540268043419,0.6749540268043419
meta,shaping,procrustes_distance,0.7000922850966602,0.7000922850966602
meta,shaping,procrustes_distance,0.3763402023506877,0.3763402023506877
meta,shaping,procrustes_distance,0.004042052095061193,0.004042052095061193
meta,shaping,procrustes_distance,0.4868362348027556,0.4868362348027556
meta,shaping,procrustes_distance,0.7488323303858955,0.7488323303858955
meta,shaping,procrustes_distance,0.011032953437086344,0.011032953437086344
meta,shaping,procrustes_distance,0.0007993856930152426,0.0007993856930152426
meta,shaping,procrustes_distance,0.7678301698496436,0.7678301698496436
meta,shaping,procrustes_distance,0.00016858655083882546,0.00016858655083882546
